,HS4,NAICS2
309,5208,31
310,5208,31
311,5208,31
312,5208,31
313,5208,31
314,5208,31
315,5208,31
316,5208,31
317,5208,31
318,5208,31
319,5208,31
320,5208,31
321,5208,31
322,5208,31
323,5208,31
324,5209,31
325,5209,31
326,5209,31
327,5209,31
328,5209,31
329,5209,31
330,5209,31
331,5209,31
332,5209,31
333,5209,31
334,5209,31
335,5209,31
336,5209,31
337,5209,31
338,5209,31
339,5209,31
340,5209,31
341,5209,31
342,5210,31
343,5210,31
344,5210,31
345,5210,31
346,5210,31
347,5210,31
348,5210,31
349,5210,31
350,5210,31
351,5210,31
352,5210,31
353,5210,31
354,5210,31
355,5210,31
356,5210,31
357,5210,31
358,5210,31
359,5210,31
360,5211,31
361,5211,31
362,5211,31
363,5211,31
364,5211,31
365,5211,31
366,5211,31
367,5211,31
368,5211,31
369,5211,31
370,5211,31
371,5211,31
372,5211,31
373,5211,31
374,5211,31
375,5211,31
376,5212,31
377,5212,31
378,5212,31
379,5212,31
380,5212,31
381,5212,31
382,5212,31
383,5212,31
384,5212,31
385,5212,31
386,5801,31
387,5801,31
388,5801,31
389,5801,31
390,5801,31
391,5801,31
392,5801,31
393,5801,31
394,5801,31
395,5801,31
396,5801,31
397,5801,31
398,5801,31
399,5801,31
400,5801,31
401,5801,31
402,5801,31
403,5801,31
404,5801,31
405,5801,31
406,5802,31
407,5802,31
408,5802,31
409,5802,31
921,0302,31
922,0302,31
923,0302,31
924,0302,31
925,0302,31
926,0302,31
927,0302,31
928,0302,31
929,0302,31
930,0302,31
931,0302,31
932,0302,31
933,0302,31
934,0302,31
935,0302,31
936,0302,31
937,0302,31
938,0302,31
939,0302,31
940,0302,31
941,0302,31
942,0302,31
943,0302,31
944,0302,31
945,0302,31
946,0302,31
947,0302,31
948,0302,31
949,0302,31
950,0302,31
951,0302,31
952,0302,31
953,0302,31
954,0302,31
955,0302,31
956,0302,31
957,0302,31
958,0302,31
959,0302,31
960,0302,31
961,0302,31
962,0302,31
963,0302,31
964,0302,31
965,0302,31
966,0302,31
967,0302,31
968,0302,31
969,0302,31
970,0302,31
971,0302,31
972,0302,31
973,0302,31
974,0302,31
975,0302,31
976,0302,31
977,0302,31
978,0302,31
979,0302,31
980,0302,31
